,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha
aimming_level0,1.0000,0.6690,0.4580,0.2780,0.2610,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590,0.2590
aimming_level1,0.0000,0.3310,0.4640,0.5320,0.1990,0.0480,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level2,0.0000,0.0000,0.0780,0.1810,0.5040,0.4040,0.1760,0.0610,0.0130,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level3,0.0000,0.0000,0.0000,0.0090,0.0360,0.2870,0.4440,0.3740,0.2400,0.1110,0.0380,0.0130,0.0000,0.0000,0.0000,0.0000
aimming_level4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.1120,0.2710,0.3670,0.3580,0.2770,0.1510,0.0740,0.0300,0.0070,0.0010
aimming_level5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0350,0.1140,0.2290,0.3290,0.3780,0.3320,0.2250,0.1250,0.0540
aimming_level6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0400,0.0930,0.1810,0.2840,0.3630,0.3740,0.2940
aimming_level7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,0.0180,0.0490,0.1140,0.2060,0.3180
aimming_level8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0080,0.0270,0.0710
aimming_level9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0020,0.0030
