,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha
aimming_level1,1.0000,0.8670,0.7490,0.2490,0.0640,0.0120,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level2,0.0000,0.1330,0.2420,0.7120,0.5470,0.2600,0.0890,0.0240,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level3,0.0000,0.0000,0.0090,0.0370,0.3860,0.5730,0.4900,0.2960,0.1400,0.0520,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level4,0.0000,0.0000,0.0000,0.0020,0.0030,0.1550,0.3920,0.5190,0.4870,0.3610,0.2060,0.1040,0.0270,0.0040,0.0010,0.0000
aimming_level5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0270,0.1550,0.3260,0.4620,0.5100,0.4080,0.2980,0.1740,0.0700,0.0280
aimming_level6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0390,0.1180,0.2460,0.4100,0.4930,0.4930,0.4140,0.2810
aimming_level7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0260,0.0740,0.1730,0.2930,0.4210,0.4870
aimming_level8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0040,0.0090,0.0350,0.0890,0.1890
aimming_level9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0050,0.0140
aimming_level10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010
