角色信息: 熔岩球_lv5_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.414,0.163,0.054,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
aimming_level1,0,0.586,0.612,0.433,0.181,0.045,0.011,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0,0.225,0.45,0.594,0.433,0.204,0.075,0.026,0.01,0.001,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0,0.063,0.186,0.441,0.544,0.436,0.241,0.124,0.044,0.011,0.001,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0,0.015,0.056,0.203,0.395,0.515,0.458,0.329,0.193,0.091,0.029,0.008,0.002,0.001,0,0,0,0
aimming_level5,0,0,0,0,0,0.001,0.014,0.067,0.183,0.333,0.462,0.504,0.428,0.308,0.173,0.071,0.018,0.004,0,0,0
aimming_level6,0,0,0,0,0,0,0,0.001,0.011,0.049,0.133,0.242,0.385,0.473,0.479,0.409,0.259,0.14,0.055,0.018,0.003
aimming_level7,0,0,0,0,0,0,0,0,0,0.002,0.007,0.026,0.069,0.156,0.281,0.413,0.519,0.498,0.404,0.264,0.137
aimming_level8,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.01,0.035,0.078,0.171,0.289,0.417,0.485,0.487
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.007,0.043,0.091,0.187,0.303
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.009,0.022,0.044
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv5_toolTrue,,,,,,,,,,,,,,,,,,,,,
"等级: 5, havetool: True",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level1,1,0.609,0.314,0.104,0.021,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level2,0,0.391,0.579,0.593,0.384,0.165,0.045,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0
aimming_level3,0,0,0.107,0.288,0.511,0.566,0.441,0.235,0.114,0.04,0.009,0,0,0,0,0,0,0,0,0,0
aimming_level4,0,0,0,0.015,0.084,0.259,0.448,0.55,0.489,0.359,0.192,0.077,0.023,0.003,0,0,0,0,0,0,0
aimming_level5,0,0,0,0,0,0.007,0.065,0.189,0.338,0.453,0.507,0.439,0.289,0.152,0.074,0.021,0.008,0.001,0,0,0
aimming_level6,0,0,0,0,0,0,0.001,0.014,0.055,0.139,0.257,0.398,0.508,0.506,0.407,0.27,0.133,0.061,0.021,0.004,0
aimming_level7,0,0,0,0,0,0,0,0,0.002,0.009,0.034,0.084,0.166,0.298,0.417,0.503,0.482,0.396,0.249,0.144,0.069
aimming_level8,0,0,0,0,0,0,0,0,0,0,0.001,0.002,0.013,0.04,0.097,0.189,0.334,0.429,0.512,0.464,0.378
aimming_level9,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.005,0.015,0.041,0.107,0.194,0.33,0.428
aimming_level10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.006,0.023,0.054,0.113
aimming_level11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.004,0.012
,,,,,,,,,,,,,,,,,,,,,
角色信息: 熔岩球_lv18_toolFalse,,,,,,,,,,,,,,,,,,,,,
"等级: 18, havetool: False",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha,The 16th gacha,The 17th gacha,The 18th gacha,The 19th gacha,The 20th gacha
aimming_level0,1,0.676,0.444,0.275,0.251,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246
aimming_level1,0,0.324,0.479,0.547,0.199,0.058,0.004,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0
