,The 0th gacha,The 1th gacha,The 2th gacha,The 3th gacha,The 4th gacha,The 5th gacha,The 6th gacha,The 7th gacha,The 8th gacha,The 9th gacha,The 10th gacha,The 11th gacha,The 12th gacha,The 13th gacha,The 14th gacha,The 15th gacha
aimming_level0,1.0000,0.7740,0.5860,0.4470,0.4260,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240,0.4240
aimming_level1,0.0000,0.2260,0.3900,0.4650,0.1830,0.0580,0.0060,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level2,0.0000,0.0000,0.0240,0.0860,0.3800,0.2960,0.1600,0.0430,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
aimming_level3,0.0000,0.0000,0.0000,0.0020,0.0110,0.2220,0.3240,0.3060,0.1810,0.0750,0.0200,0.0040,0.0000,0.0000,0.0000,0.0000
aimming_level4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0860,0.2110,0.3180,0.3020,0.2270,0.1300,0.0650,0.0190,0.0040,0.0010
aimming_level5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150,0.0680,0.1880,0.2720,0.2940,0.2490,0.1850,0.0960,0.0400
aimming_level6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0110,0.0560,0.1420,0.2320,0.2690,0.2770,0.2330
aimming_level7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0060,0.0290,0.0980,0.1750,0.2460
aimming_level8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0050,0.0240,0.0540
aimming_level9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020
